[PROP/wald] K=1  FRcrit_avg=0.02091107  conf=0.99  steps=1  n=1407
half_norm=0.00982648  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=175253504
EP_control=wald  E_wald_final=0.00982648
Wald_CI(99%):   [0.01108459, 0.03073755]   half=0.00982648   se=0.00381463   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.11120640 (n=1407)
injections_used=1407  pilot=664  budget_cap=None
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.07018201403695806, 0.14398987206823027, 0.09281994047619048, 0.10561034115138593, 0.08153151652452026, 0.08601523631840796, 0.12760139036958068, 0.09286436122956646, 0.08585976368159204, 0.11352556414356788] Δmax = 0.005 KL = 0.000 TV = 0.010 H_baseline = 2.277 H_global = 2.280 ΔH = -0.003 BER = 0.0205 per_class = [0.014047410008779631, 0.013868879540521331, 0.014678161985105529, 0.014214641080312722, 0.014250177683013504, 0.014214641080312722, 0.014925373134328358, 0.04906894100923952, 0.014376171092589003, 0.04155413409144752] agree = 0.979 flip_asym = 0.582

[E_seq] n, E_wald
664,0.01455273
1407,0.00982648

[E_final] E_wald=0.00982648

Top-100 worst injections (proposed iter EP)
 88) Inj    811 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4a.branch2.1.conv [151, 48, 2, 2] bit 8
 89) Inj   1021 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch3.1.conv [79, 15, 1, 0] bit 22
 90) Inj    971 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4a.branch2.0.conv [47, 6, 0, 0] bit 28
 91) Inj   1239 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [168, 40, 2, 1] bit 7
 92) Inj   1012 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4d.branch2.1.conv [94, 106, 0, 2] bit 5
 93) Inj   1045 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5b.branch2.1.conv [336, 86, 1, 2] bit 22
 94) Inj    877 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5b.branch3.0.conv [33, 614, 0, 0] bit 8
 95) Inj   1219 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception3b.branch2.1.conv [183, 72, 1, 2] bit 5
 96) Inj   1334 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5b.branch2.1.conv [241, 18, 0, 2] bit 30
 97) Inj   1224 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch1.conv [91, 293, 0, 0] bit 22
 98) Inj   1283 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5a.branch2.1.conv [176, 7, 2, 0] bit 13
 99) Inj   1138 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception5b.branch2.0.conv [120, 156, 0, 0] bit 29
100) Inj    529 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | inception4b.branch2.1.conv [65, 81, 1, 0] bit 13
