[PROP/wald] K=1  FRcrit_avg=0.03194319  conf=0.99  steps=1  n=2564
half_norm=0.00887657  e_goal=0.01000000  FPC=on  DESIGN=WOR  N_pop=165888
EP_control=wald  E_wald_final=0.00887657
Wald_CI(99%):   [0.02306662, 0.04081976]   half=0.00887657   se=0.00344587   FPC=on
SampleStdDev_FRcrit_across_injections: s=0.14646762 (n=2564)
injections_used=2564  pilot=661  budget_cap=None
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06770274717238689, 0.1446485593798752, 0.10965227671606864, 0.10289708463338533, 0.07917621392355695, 0.08445361251950079, 0.12536259262870514, 0.09170241809672387, 0.08357607741809672, 0.11082841751170047] Δmax = 0.020 KL = 0.003 TV = 0.022 H_baseline = 2.277 H_global = 2.279 ΔH = -0.002 BER = 0.0316 per_class = [0.027989354868312378, 0.02310578909642872, 0.009529946415247915, 0.028297798578609812, 0.02761310452418097, 0.02770883562615232, 0.027880206117335604, 0.061045241809672385, 0.027921571408310877, 0.0547061882475299] agree = 0.968 flip_asym = 0.932

[E_seq] n, E_wald
661,0.01980775
2564,0.00887657

[E_final] E_wald=0.00887657

Top-100 worst injections (proposed iter EP)
 66) Inj     30 | FRcrit=0.839844 | maj=1@0.60 Δmax=0.453 KL=1.430 | conv1.conv [114, 2, 0, 0] bit 30
 67) Inj   2024 | FRcrit=0.832031 | maj=1@0.74 Δmax=0.594 KL=1.447 | conv1.conv [35, 1, 0, 1] bit 30
 68) Inj   2128 | FRcrit=0.832031 | maj=1@0.66 Δmax=0.520 KL=1.433 | conv1.conv [3, 0, 0, 1] bit 30
 69) Inj    590 | FRcrit=0.828125 | maj=1@0.58 Δmax=0.438 KL=1.453 | conv1.conv [16, 1, 2, 0] bit 30
 70) Inj    242 | FRcrit=0.824219 | maj=1@0.69 Δmax=0.547 KL=1.463 | conv1.conv [3, 1, 1, 0] bit 30
 71) Inj    904 | FRcrit=0.816406 | maj=1@0.64 Δmax=0.492 KL=1.412 | conv1.conv [35, 1, 1, 0] bit 30
 72) Inj   2098 | FRcrit=0.175781 | maj=2@0.19 Δmax=0.098 KL=0.061 | conv1.conv [86, 0, 2, 1] bit 26
 73) Inj    659 | FRcrit=0.175781 | maj=2@0.18 Δmax=0.090 KL=0.055 | conv1.conv [172, 1, 0, 2] bit 26
 74) Inj   2294 | FRcrit=0.152344 | maj=1@0.15 Δmax=0.039 KL=0.031 | conv1.conv [163, 2, 2, 0] bit 26
 75) Inj    122 | FRcrit=0.097656 | maj=6@0.19 Δmax=0.059 KL=0.027 | conv1.conv [85, 1, 1, 0] bit 26
 76) Inj   2386 | FRcrit=0.066406 | maj=1@0.15 Δmax=0.031 KL=0.006 | conv1.conv [156, 2, 2, 0] bit 26
 77) Inj   1722 | FRcrit=0.062500 | maj=1@0.15 Δmax=0.020 KL=0.006 | conv1.conv [102, 1, 2, 0] bit 26
 78) Inj   2341 | FRcrit=0.058594 | maj=1@0.14 Δmax=0.027 KL=0.007 | conv1.conv [180, 1, 1, 1] bit 25
 79) Inj    304 | FRcrit=0.039062 | maj=1@0.14 Δmax=0.016 KL=0.002 | conv1.conv [46, 2, 0, 1] bit 25
 80) Inj   2346 | FRcrit=0.035156 | maj=1@0.15 Δmax=0.012 KL=0.002 | conv1.conv [114, 0, 0, 2] bit 26
 81) Inj   1495 | FRcrit=0.031250 | maj=1@0.14 Δmax=0.012 KL=0.003 | conv1.conv [107, 0, 1, 2] bit 26
 82) Inj   2194 | FRcrit=0.027344 | maj=1@0.14 Δmax=0.008 KL=0.001 | conv1.conv [81, 1, 2, 0] bit 27
 83) Inj    301 | FRcrit=0.027344 | maj=1@0.14 Δmax=0.008 KL=0.001 | conv1.conv [170, 1, 2, 1] bit 26
 84) Inj    598 | FRcrit=0.019531 | maj=1@0.14 Δmax=0.008 KL=0.001 | conv1.conv [75, 2, 2, 2] bit 27
 85) Inj   2312 | FRcrit=0.019531 | maj=1@0.14 Δmax=0.008 KL=0.001 | conv1.conv [127, 0, 1, 0] bit 26
 86) Inj   2418 | FRcrit=0.019531 | maj=1@0.14 Δmax=0.008 KL=0.001 | conv1.conv [39, 0, 2, 2] bit 26
 87) Inj    842 | FRcrit=0.019531 | maj=1@0.14 Δmax=0.008 KL=0.001 | conv1.conv [52, 1, 0, 0] bit 26
 88) Inj   1000 | FRcrit=0.015625 | maj=1@0.14 Δmax=0.008 KL=0.001 | conv1.conv [47, 2, 2, 1] bit 25
 89) Inj   1256 | FRcrit=0.015625 | maj=1@0.14 Δmax=0.004 KL=0.000 | conv1.conv [173, 2, 2, 1] bit 26
 90) Inj   2283 | FRcrit=0.015625 | maj=1@0.14 Δmax=0.008 KL=0.001 | conv1.conv [181, 2, 1, 1] bit 26
 91) Inj    819 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | conv1.conv [48, 2, 0, 0] bit 5
 92) Inj    862 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | conv1.conv [155, 0, 2, 1] bit 6
 93) Inj    822 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | conv1.conv [162, 1, 2, 2] bit 29
 94) Inj    870 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | conv1.conv [81, 0, 1, 0] bit 26
 95) Inj    864 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | conv1.conv [1, 0, 1, 0] bit 25
 96) Inj    872 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | conv1.conv [136, 0, 2, 2] bit 23
 97) Inj    877 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | conv1.conv [24, 1, 2, 1] bit 26
 98) Inj    869 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | conv1.conv [113, 1, 1, 1] bit 5
 99) Inj    913 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.000 | conv1.conv [105, 1, 1, 2] bit 29
100) Inj    919 | FRcrit=0.011719 | maj=1@0.14 Δmax=0.004 KL=0.001 | conv1.conv [84, 1, 1, 0] bit 19
