[PROP/wald] K=1  FRcrit_avg=0.02024798  conf=0.99  n=16590
half_norm=0.00281690  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=393216
EP_control=wald  E_wald_final=0.00281690
Wald_CI(99%):   [0.01743108, 0.02306489]   half=0.00281690   se=0.00109352   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.10816306 (n=16590)
injections_used=16590  pilot=16590
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.06855080244122966, 0.14575892857142858, 0.09840218128390597, 0.10426249811633514, 0.08021233612115733, 0.08559726303496082, 0.12696631065400843, 0.09295697709463532, 0.08463941945449066, 0.1126532832278481] Δmax = 0.009 KL = 0.001 TV = 0.014 H_baseline = 2.277 H_global = 2.279 ΔH = -0.002 BER = 0.0200 per_class = [0.015143779030599581, 0.011498297574246941, 0.00858033912519328, 0.01508717880025897, 0.014996986136226643, 0.014241876267192723, 0.015080278371417613, 0.048161543098251956, 0.015115896761466381, 0.04161342174000402] agree = 0.980 flip_asym = 0.895

[E_seq] n, E_wald
16590,0.00281690

[E_final] E_wald=0.00281690

Top-100 worst injections
 89) Inj   9198 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch1.conv [14, 32, 0, 0] bit 30
 90) Inj   9435 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch1.conv [59, 23, 0, 0] bit 30
 91) Inj   9101 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch1.conv [19, 44, 0, 0] bit 30
 92) Inj   9291 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch1.conv [50, 109, 0, 0] bit 30
 93) Inj  11936 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch1.conv [11, 84, 0, 0] bit 30
 94) Inj  10286 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch1.conv [50, 87, 0, 0] bit 30
 95) Inj   7074 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch1.conv [57, 23, 0, 0] bit 30
 96) Inj   9173 | FRcrit=0.910156 | maj=2@0.99 Δmax=0.898 KL=2.346 | inception3a.branch1.conv [15, 67, 0, 0] bit 30
 97) Inj   7857 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch1.conv [36, 184, 0, 0] bit 30
 98) Inj  10952 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch1.conv [0, 74, 0, 0] bit 30
 99) Inj  11001 | FRcrit=0.910156 | maj=2@1.00 Δmax=0.910 KL=2.410 | inception3a.branch1.conv [14, 4, 0, 0] bit 30
100) Inj   6577 | FRcrit=0.910156 | maj=2@0.99 Δmax=0.902 KL=2.364 | inception3a.branch1.conv [44, 146, 0, 0] bit 30
