[PROP/wald] K=1  FRcrit_avg=0.01473144  conf=0.99  n=16590
half_norm=0.00240948  e_goal=0.01000000  FPC=off  DESIGN=WR  N_pop=21233664
EP_control=wald  E_wald_final=0.00240948
Wald_CI(99%):   [0.01232196, 0.01714091]   half=0.00240948   se=0.00093536   FPC=off
SampleStdDev_FRcrit_across_injections: s=0.08338691 (n=16590)
injections_used=16590  pilot=16590
baseline_pred_dist=[0.06640625, 0.14453125, 0.08984375, 0.10546875, 0.078125, 0.0859375, 0.12890625, 0.09765625, 0.0859375, 0.1171875]
global_summary_over_injections: fault_pred_dist = [0.07034828963230862, 0.1439944055153707, 0.08982773884870404, 0.10573340491259794, 0.08160483536769138, 0.08626007760699217, 0.12825756291440626, 0.09395720313441833, 0.08613881668173598, 0.11387766538577457] Δmax = 0.004 KL = 0.000 TV = 0.008 H_baseline = 2.277 H_global = 2.280 ΔH = -0.003 BER = 0.0144 per_class = [0.007431833492890828, 0.007995699134939641, 0.011714757449485023, 0.007967762820083496, 0.007899336949969861, 0.007718231135952655, 0.00829086525289057, 0.04177697408077155, 0.00783056605841416, 0.03488045007032349] agree = 0.985 flip_asym = 0.619

[E_seq] n, E_wald
16590,0.00240948

[E_final] E_wald=0.00240948

Top-100 worst injections
 83) Inj   8512 | FRcrit=0.906250 | maj=5@0.99 Δmax=0.906 KL=2.400 | inception5b.branch2.1.conv [82, 124, 0, 1] bit 30
 84) Inj  11371 | FRcrit=0.902344 | maj=7@1.00 Δmax=0.902 KL=2.326 | inception5b.branch2.1.conv [237, 135, 2, 1] bit 30
 85) Inj    586 | FRcrit=0.902344 | maj=7@1.00 Δmax=0.902 KL=2.326 | inception5b.branch2.1.conv [307, 138, 0, 1] bit 30
 86) Inj   3435 | FRcrit=0.902344 | maj=8@0.99 Δmax=0.902 KL=2.375 | inception5b.branch2.1.conv [243, 10, 1, 1] bit 30
 87) Inj  10417 | FRcrit=0.902344 | maj=7@1.00 Δmax=0.902 KL=2.326 | inception5b.branch2.1.conv [251, 64, 0, 0] bit 30
 88) Inj   3970 | FRcrit=0.902344 | maj=7@1.00 Δmax=0.902 KL=2.326 | inception5b.branch2.1.conv [190, 157, 0, 2] bit 30
 89) Inj   7254 | FRcrit=0.902344 | maj=7@1.00 Δmax=0.902 KL=2.326 | inception5b.branch2.1.conv [318, 106, 1, 2] bit 30
 90) Inj   6995 | FRcrit=0.902344 | maj=7@1.00 Δmax=0.902 KL=2.326 | inception5b.branch2.1.conv [62, 51, 0, 1] bit 30
 91) Inj   7197 | FRcrit=0.902344 | maj=7@1.00 Δmax=0.902 KL=2.326 | inception5b.branch2.1.conv [251, 150, 0, 2] bit 30
 92) Inj   4953 | FRcrit=0.894531 | maj=3@1.00 Δmax=0.895 KL=2.249 | inception5b.branch2.1.conv [67, 132, 1, 1] bit 30
 93) Inj   7554 | FRcrit=0.894531 | maj=3@1.00 Δmax=0.895 KL=2.249 | inception5b.branch2.1.conv [52, 21, 2, 2] bit 30
 94) Inj   7912 | FRcrit=0.894531 | maj=3@1.00 Δmax=0.895 KL=2.249 | inception5b.branch2.1.conv [147, 139, 0, 1] bit 30
 95) Inj   8407 | FRcrit=0.894531 | maj=3@1.00 Δmax=0.895 KL=2.249 | inception5b.branch2.1.conv [285, 19, 0, 1] bit 30
 96) Inj   9464 | FRcrit=0.894531 | maj=3@1.00 Δmax=0.895 KL=2.249 | inception5b.branch2.1.conv [43, 178, 0, 0] bit 30
 97) Inj  10738 | FRcrit=0.894531 | maj=3@1.00 Δmax=0.895 KL=2.249 | inception5b.branch2.1.conv [115, 132, 2, 2] bit 30
 98) Inj  14749 | FRcrit=0.894531 | maj=3@1.00 Δmax=0.895 KL=2.249 | inception5b.branch2.1.conv [216, 44, 2, 2] bit 30
 99) Inj  10142 | FRcrit=0.894531 | maj=3@1.00 Δmax=0.895 KL=2.249 | inception5b.branch2.1.conv [46, 181, 1, 2] bit 30
100) Inj  12032 | FRcrit=0.894531 | maj=3@1.00 Δmax=0.895 KL=2.249 | inception5b.branch2.1.conv [67, 157, 0, 1] bit 30
